comparison,n,df,mean_drop_a,mean_drop_b,mean_difference,t_statistic,p_uncorrected,dz,dz_ci_low,dz_ci_high,p_holm,significant_holm_0p05
5.0->4.0 vs 3.33->3.0,17,16,0.014994750766332015,0.03835346562833014,-0.02335871486199812,-2.6359845958802857,0.01797554409720865,-0.6393201715479707,-1.154812439797443,-0.10745535235289691,0.1078532645832519,False
3.33->3.0 vs 3.0->2.78,17,16,0.03835346562833014,0.01654086832623755,0.021812597302092587,2.383229916085365,0.02989979787619995,0.5780181573030514,0.055178343598271465,1.0855715582582555,0.14949898938099976,False
4.0->3.33 vs 3.33->3.0,17,16,0.02016195270904025,0.03835346562833014,-0.018191512919289887,-2.056082678303495,0.05646817553198677,-0.49867329750871575,-0.997133593825618,0.013487954369554463,0.22587270212794708,False
5.0->4.0 vs 4.0->3.33,17,16,0.014994750766332015,0.02016195270904025,-0.005167201942708235,-0.9483921484864364,0.35703546650804285,-0.23001888251270855,-0.7084389432046201,0.25533994921566716,1.0,False
4.0->3.33 vs 3.0->2.78,17,16,0.02016195270904025,0.01654086832623755,0.003621084382802698,0.5921386163464116,0.5620328613325869,0.1436147094237263,-0.33650365007205335,0.6193296154214618,1.0,False
5.0->4.0 vs 3.0->2.78,17,16,0.014994750766332015,0.01654086832623755,-0.0015461175599055374,-0.25643940410884813,0.800879687772171,-0.06219569115948425,-0.537075423801966,0.4146074587242904,1.0,False
